序号,uid,昵称,类型
num,uid,nick,score
1,9977543,唇唇YD交友厅,2
2,99752430,爱戴家族,2
3,98551297,ʚ 筱兮风 ´◡` ✨,2
4,98549331,果子专职场控,2
5,98241511,O^轩T^T『』,2
6,97177210,讲给风听。,2
7,97104195,夜幽,2
8,9621468,Nous.青椒,2
9,9619542,TAXX.蜜罐男友,2
10,95783281,海鲜市场🐳🦞🦀,2
11,95744326,CAPf.青龙，三鹰,2
12,95520262,不烦,2
13,9509005,Clown,2
14,9505766,今声相约,2
15,95035688,深夜女友！！收收收！！！,2
16,949895,𝒮ℯ7ℯ𝓃ོ🖤,2
17,94907940,星诉☞玉树临风☜,2
18,94638518,【星诉月倾】五姐娱乐,2
19,93873093,专属女神,2
20,93823279,LL,2
21,93445505,浅瞳,2
22,93153487,缺丶🥬,2
23,92843543,🍭.NaiNai,2
24,9232256,S.e.x.y 杜杜1厅,2
25,91420858,果子.,2
26,91308296,耳语情人whisper,2
27,91069701,《星诉》Ti.甜御CLUB,2
28,90756295,再无此人👋,2
29,89879204,后花园,2
30,89255494,494,2
31,89222131,汤团🍡,2
32,88893662,༺小蒸饺༻,2
33,88558468,ོོོོ⚘艾琳ོ⚘ོ,2
34,88312202,鹤公子~,2
35,88237789,钻石 年華,2
36,8819040,盛世红颜,2
37,8815141,夹心❤,2
38,881,派对语音-夏奇拉,2
39,8792933,我是牛牛,2
40,87925449,Yt12.mc小鱼在前方为你导航,2
41,87630776,【星诉】C位女神,2
42,87585893,💭Wendy💖 ‮✩‭,2
43,87471304,跟你不熟🖤,2
44,87198170,遇ღ醉傾城️ღ不扰➠拒撩,2
45,87160968,繁华里 新厅开业,2
46,87101577,新欢🌺,2
47,87032071,鳳,2
48,8692433,🐳懒羊羊🐾,2
49,86561308,@小羽@,2
50,86317301,DS.2交友,2
1,85903830,✨龙飞✨,2
2,8580191,新开男厅 招人,2
3,8516644,神秘花园🎉🎉小野,2
4,8490869,Loli,2
5,84827008,ꦿ红颜🐠🐠🐠ཽ࿆,2
6,84635521,🎈年度宝儿🍋小幸运吖🍀,2
7,8366293,清晨 ❀,2
8,8353021,Mj.布一宁,2
9,81594988,小章鱼s,2
10,81475248,上官云龙,2
11,81465385,巴卫,2
12,80714259,🐆莫言歌/雅🦋,2
13,80581362,.,2
14,80404981,𝒬.落書/待君归,2
15,7793732,大叔℡,2
16,7782335,"　",2
17,7714281,🌙,2
18,754525623,私人订制,2
19,754505816,星座恋人～西几爸爸❤萘亚,2
20,754503608,Time.守一/歌,2
21,754503595,Time.奈大/不接活,2
22,754503581,Time.新人,2
23,754503567,Time.想见,2
24,754503549,Time.川川,2
25,754503543,领会,2
26,754503527,Time.A/歌,2
27,754503505,更倦,2
28,754503488,惠甫,2
29,754503029,刘娜,2
30,754502917,峰峦,2
31,754502898,红梅,2
32,754502884,自演,2
33,754502872,童童,2
34,754502860,呈亚,2
35,754502849,季刊,2
36,754502835,文采,2
37,754502825,爱因,2
38,754502822,潍坊,2
39,754502815,唧唧,2
40,754502806,小萱,2
41,754502793,叶琴,2
42,754502784,会闲,2
43,754502745,金红,2
44,754502722,会亭,2
45,754502715,艺静,2
46,754502576,李敏,2
47,754502561,月琴,2
48,754502556,小杜,2
49,754502539,赵松,2
50,754502529,刘欣,2
1,754502524,亚红,2
2,754502519,雅琴,2
3,754502514,忆伤,2
4,754502503,书欣,2
5,754502493,亚欣,2
6,754496575,丽哲,2
7,754496551,银倾,2
8,754496519,叔云,2
9,754496504,白绢,2
10,754496463,机遇,2
11,754496437,蓉珍,2
12,754496399,娇娇,2
13,754496195,溜溜留,2
14,754496095,青青,2
15,754495809,红叶,2
16,754495583,隐隐,2
17,754495547,星星,2
18,754495338,天瑜,2
19,754495256,于洪,2
20,754495206,海峡,2
21,754495066,丽娟,2
22,754494821,〔RUA〕调香少女,2
23,754494812,秀秀,2
24,754494600,星河,2
25,754492599,张伟,2
26,754492591,百无禁忌,2
27,754492547,阿姨,2
28,754492526,小仙女,2
29,754492525,风妙,2
30,754492429,子宇,2
31,754492411,改如,2
32,754492393,开开,2
33,754492368,杨兰,2
34,754492351,海花,2
35,754492300,兴娜,2
36,754492271,红欠,2
37,754492261,欢喜,2
38,754492245,丽娜,2
39,754492234,江丽,2
40,754492204,啊云,2
41,754492188,红素,2
42,754492179,英敏,2
43,754492144,红心,2
44,754492128,亚男,2
45,754492114,马丁,2
46,754492082,聪聪,2
47,754492073,天天,2
48,754492060,丹丹,2
49,754492046,糊糊,2
50,754492024,微微,2
1,754492007,婷婷,2
2,754491991,马可,2
3,754491971,马天,2
4,754491962,默默,2
5,754488959,如鱼得水,2
6,754486507,乔乔,2
7,754486436,小罗,2
8,754486363,十罪,2
9,754486319,夜都娱乐交友厅,2
10,754486038,【星诉】拾佳恋人,2
11,754485956,秀兰,2
12,754485913,泽园,2
13,754485608,花季女孩,2
14,754485493,点点,2
15,754485453,啊严,2
16,754485395,末路,2
17,754485359,随风,2
18,754485309,敏敏,2
19,754485232,老板,2
20,754485221,万渔来潮,2
21,754485196,可以,2
22,754485163,念夏,2
23,754485117,魅力,2
24,754485083,一世繁华,2
25,754485046,你好,2
26,754484985,兰蔻,2
27,754474684,新时代-至上娱乐,2
28,754470656,【音咖】偷心少女/.高聘 招挂靠,2
29,754469045,〔RUA〕酒醉伊人☁️,2
30,754461082,《暮色》水晶之恋,2
31,754458774,Lx.陈辞,2
32,754456815,迷心男友/新厅开业,2
33,754456400,思遇女神/招小可爱,2
34,754446972,爱琴海 战神修养厅,2
35,754445918,AG.娇声惯养,2
36,754441350,维秘🌈娱乐,2
37,754437880,【星诉】禁欲男友,2
38,754433253,【星诉】魅声倾心-新厅开业,2
39,754432380,猫系女友-招人,2
40,754432169,欣欣恋人-新厅开业,2
41,754416939,Best Man男明星,2
42,754416604,清溪阁,2
43,754415943,初恋👒交友厅,2
44,754415590,北辰交友厅,2
45,754412969,【世界】专属心跳,2
46,754412748,爱耐不住,2
47,754411524,质感交友厅,2
48,754404896,墨染🌈轩华🤫（瑞弟）,2
49,754403414,Old Friend Girlf,2
50,754400458,【世界】人间酒馆 新厅开业/聘,2
1,754398774,爱你一生,2
2,754398619,智慧树,2
3,754397624,专属男友－新厅开业,2
4,754397094,Z。,2
5,754390500,渣男备忘录,2
6,754388304,Max互娱,2
7,754387713,【世界】觅爱追欢,2
8,754386134,大海鱼塘,2
9,754381372,招人/招仙女,2
10,754379562,【星诉】AI女友/聘诉,2
11,754373527,找朋友，到Bbr恋人,2
12,754369182,玉兰路,2
13,754367027,【星诉月倾】817 男音天花板,2
14,754366875,酒欲男神,2
15,754365811,Cs-田鸡少女-优质新厅,2
16,754355879,✨月下花船,2
17,754355463,【星诉】私域女神/聘诉,2
18,754346487,最强.☆小  玖.,2
19,754338694,时光恋人,2
20,754337604,小甜心,2
21,754337257,『世界』男明星集聚地,2
22,754334696,乖乖,2
23,754333781,╭(╯ε╰)╮,2
24,754331395,雅琴阁女神/诚聘女神,2
25,754329168,天气,2
26,754327430,Inke754327430,2
27,754327284,诗茵女友,2
28,754320411,☆小柒.,2
29,754319944,新时代娱乐,2
30,754318078,Xg.菠萝,2
31,754316899,惗旧-新厅招人,2
32,754316098,囍欢,2
33,754315444,Q.橘子,2
34,754315399,星诉：念念不忘,2
35,754313382,北巷女友,2
36,754308672,绝代风华👗交友厅,2
37,754306418,后宫男团,2
38,754306274,声诱男神,2
39,754305292,雅痞公馆,2
40,754296172,jz-甜蜜女神,2
41,754294636,。,2
42,754294129,雅居阁女神/诚聘女神,2
43,754280828,【星诉】溏心男友,2
44,754278469,月宁❤️,2
45,754278374,【星诉】幼稚园,2
46,754278268,伊泽,2
47,754278010,悸动男神-招战神，挂靠,2
48,754276328,氧气女友-招战神,2
49,754270495,夜梦佳人,2
50,754269099,太阳,2
1,754269052,爱丽丝✨,2
2,754269009,乐🔅乐,2
3,754268944,崽🌈崽,2
4,754268900,芸芸,2
5,754268822,蓉蓉,2
6,754268581,嘉嘉,2
7,754268534,脆脆,2
8,754268477,耐克,2
9,754268449,向往,2
10,754268402,尼克,2
11,754268340,菠菜,2
12,754268289,可可,2
13,754268218,啤酒,2
14,754268168,蕾蕾,2
15,754268122,迷你,2
16,754268086,栀子花,2
17,754268047,秘密,2
18,754268020,源夫人,2
19,754267966,好好.,2
20,754267932,橘子,2
21,754267895,粽子,2
22,754267872,果粒橙,2
23,754267813,蜜桃,2
24,754267782,栗子,2
25,754267749,项链,2
26,754267723,可乐,2
27,754267681,哈密瓜,2
28,754267639,黄瓜,2
29,754267593,柿子,2
30,754267507,女明星,2
31,754267498,西瓜,2
32,754267490,征战,2
33,754264091,九遇男神.,2
34,754264049,日(聘+),2
35,754263312,〔RUA〕巧酥娇人,2
36,754258989,大鱼海塘,2
37,754258780,泠然,2
38,754257339,我爱绝非一般沁雪蓝馨,2
39,754257335,姐的罪爱是自己,2
